ID,list,item,condition,rating,modal
82384886,3,15,H,NA,may_certainly
82384886,3,16,L,NA,may_certainly
82384886,3,1,LH,NA,must_probably
82384886,3,2,H,NA,must_probably
82384886,3,3,L,NA,must_probably
82384886,3,4,HL,NA,must_probably
82384886,3,5,LH,NA,would_possibly
82384886,3,6,H,NA,would_possibly
82384886,3,7,L,NA,would_possibly
82384886,3,8,HL,NA,would_possibly
82384886,3,9,LH,NA,might_probably
82384886,3,10,H,NA,might_probably
82384886,3,11,L,NA,might_probably
82384886,3,12,HL,NA,might_probably
82384886,3,13,LH,NA,may_certainly
82384886,3,14,H,NA,may_certainly
82384886,3,15,L,NA,may_certainly
82384886,3,16,HL,NA,may_certainly
82384886,3,1,H,90,must_probably
82384886,3,2,L,85,must_probably
82384886,3,3,HL,80,must_probably
82384886,3,4,LH,80,must_probably
82384886,3,5,H,95,would_possibly
82384886,3,6,L,90,would_possibly
82384886,3,7,HL,60,would_possibly
82384886,3,8,LH,20,would_possibly
82384886,3,9,H,90,might_probably
82384886,3,10,L,70,might_probably
82384886,3,11,HL,95,might_probably
82384886,3,12,LH,50,might_probably
82384886,3,13,H,75,may_certainly
82384886,3,14,L,85,may_certainly
82384886,3,15,HL,80,may_certainly
82384886,3,16,LH,30,may_certainly
82384886,3,1,L,NA,must_probably
82384886,3,2,HL,NA,must_probably
82384886,3,3,LH,NA,must_probably
82384886,3,4,H,NA,must_probably
82384886,3,5,L,NA,would_possibly
82384886,3,6,HL,NA,would_possibly
82384886,3,7,LH,NA,would_possibly
82384886,3,8,H,NA,would_possibly
82384886,3,9,L,NA,might_probably
82384886,3,10,HL,NA,might_probably
82384886,3,11,LH,NA,might_probably
82384886,3,12,H,NA,might_probably
82384886,3,13,L,NA,may_certainly
82384886,3,14,HL,NA,may_certainly
82384886,3,15,LH,NA,may_certainly
82384886,3,16,H,NA,may_certainly
17829614,4,1,HL,NA,must_probably
17829614,4,2,LH,NA,must_probably
17829614,4,3,H,NA,must_probably
17829614,4,4,L,NA,must_probably
17829614,4,5,HL,NA,would_possibly
17829614,4,6,LH,NA,would_possibly
17829614,4,7,H,NA,would_possibly
17829614,4,8,L,NA,would_possibly
17829614,4,9,HL,NA,might_probably
17829614,4,10,LH,NA,might_probably
17829614,4,11,H,NA,might_probably
17829614,4,12,L,NA,might_probably
17829614,4,13,HL,NA,may_certainly
17829614,4,14,LH,NA,may_certainly
17829614,4,15,H,NA,may_certainly
17829614,4,16,L,NA,may_certainly
17829614,4,1,LH,NA,must_probably
17829614,4,2,H,NA,must_probably
17829614,4,3,L,NA,must_probably
17829614,4,4,HL,NA,must_probably
17829614,4,5,LH,NA,would_possibly
17829614,4,6,H,NA,would_possibly
17829614,4,7,L,NA,would_possibly
17829614,4,8,HL,NA,would_possibly
17829614,4,9,LH,NA,might_probably
17829614,4,10,H,NA,might_probably
17829614,4,11,L,NA,might_probably
17829614,4,12,HL,NA,might_probably
17829614,4,13,LH,NA,may_certainly
17829614,4,14,H,NA,may_certainly
17829614,4,15,L,NA,may_certainly
17829614,4,16,HL,NA,may_certainly
17829614,4,1,H,NA,must_probably
17829614,4,2,L,NA,must_probably
17829614,4,3,HL,NA,must_probably
17829614,4,4,LH,NA,must_probably
17829614,4,5,H,NA,would_possibly
17829614,4,6,L,NA,would_possibly
17829614,4,7,HL,NA,would_possibly
17829614,4,8,LH,NA,would_possibly
17829614,4,9,H,NA,might_probably
17829614,4,10,L,NA,might_probably
17829614,4,11,HL,NA,might_probably
17829614,4,12,LH,NA,might_probably
17829614,4,13,H,NA,may_certainly
17829614,4,14,L,NA,may_certainly
17829614,4,15,HL,NA,may_certainly
17829614,4,16,LH,NA,may_certainly
17829614,4,1,L,60,must_probably
17829614,4,2,HL,75,must_probably
17829614,4,3,LH,75,must_probably
17829614,4,4,H,80,must_probably
17829614,4,5,L,60,would_possibly
17829614,4,6,HL,60,would_possibly
17829614,4,7,LH,60,would_possibly
17829614,4,8,H,90,would_possibly
17829614,4,9,L,55,might_probably
17829614,4,10,HL,60,might_probably
17829614,4,11,LH,75,might_probably
17829614,4,12,H,60,might_probably
17829614,4,13,L,60,may_certainly
17829614,4,14,HL,80,may_certainly
17829614,4,15,LH,85,may_certainly
17829614,4,16,H,90,may_certainly
30725510,1,1,HL,50,must_probably
30725510,1,2,LH,50,must_probably
30725510,1,3,H,96,must_probably
30725510,1,4,L,60,must_probably
30725510,1,5,HL,50,would_possibly
30725510,1,6,LH,50,would_possibly
30725510,1,7,H,99,would_possibly
30725510,1,8,L,50,would_possibly
30725510,1,9,HL,50,might_probably
30725510,1,10,LH,50,might_probably
30725510,1,11,H,50,might_probably
30725510,1,12,L,50,might_probably
30725510,1,13,HL,50,may_certainly
30725510,1,14,LH,50,may_certainly
30725510,1,15,H,100,may_certainly
30725510,1,16,L,50,may_certainly
30725510,1,1,LH,NA,must_probably
30725510,1,2,H,NA,must_probably
30725510,1,3,L,NA,must_probably
30725510,1,4,HL,NA,must_probably
30725510,1,5,LH,NA,would_possibly
30725510,1,6,H,NA,would_possibly
30725510,1,7,L,NA,would_possibly
30725510,1,8,HL,NA,would_possibly
30725510,1,9,LH,NA,might_probably
30725510,1,10,H,NA,might_probably
30725510,1,11,L,NA,might_probably
30725510,1,12,HL,NA,might_probably
30725510,1,13,LH,NA,may_certainly
30725510,1,14,H,NA,may_certainly
30725510,1,15,L,NA,may_certainly
30725510,1,16,HL,NA,may_certainly
30725510,1,1,H,NA,must_probably
30725510,1,2,L,NA,must_probably
30725510,1,3,HL,NA,must_probably
30725510,1,4,LH,NA,must_probably
30725510,1,5,H,NA,would_possibly
30725510,1,6,L,NA,would_possibly
30725510,1,7,HL,NA,would_possibly
30725510,1,8,LH,NA,would_possibly
30725510,1,9,H,NA,might_probably
30725510,1,10,L,NA,might_probably
30725510,1,11,HL,NA,might_probably
30725510,1,12,LH,NA,might_probably
30725510,1,13,H,NA,may_certainly
30725510,1,14,L,NA,may_certainly
30725510,1,15,HL,NA,may_certainly
30725510,1,16,LH,NA,may_certainly
30725510,1,1,L,NA,must_probably
30725510,1,2,HL,NA,must_probably
30725510,1,3,LH,NA,must_probably
30725510,1,4,H,NA,must_probably
30725510,1,5,L,NA,would_possibly
30725510,1,6,HL,NA,would_possibly
30725510,1,7,LH,NA,would_possibly
30725510,1,8,H,NA,would_possibly
30725510,1,9,L,NA,might_probably
30725510,1,10,HL,NA,might_probably
30725510,1,11,LH,NA,might_probably
30725510,1,12,H,NA,might_probably
30725510,1,13,L,NA,may_certainly
30725510,1,14,HL,NA,may_certainly
30725510,1,15,LH,NA,may_certainly
30725510,1,16,H,NA,may_certainly
9064112,2,1,HL,NA,must_probably
9064112,2,2,LH,NA,must_probably
9064112,2,3,H,NA,must_probably
9064112,2,4,L,NA,must_probably
9064112,2,5,HL,NA,would_possibly
9064112,2,6,LH,NA,would_possibly
9064112,2,7,H,NA,would_possibly
9064112,2,8,L,NA,would_possibly
9064112,2,9,HL,NA,might_probably
9064112,2,10,LH,NA,might_probably
9064112,2,11,H,NA,might_probably
9064112,2,12,L,NA,might_probably
9064112,2,13,HL,NA,may_certainly
9064112,2,14,LH,NA,may_certainly
9064112,2,15,H,NA,may_certainly
9064112,2,16,L,NA,may_certainly
9064112,2,1,LH,67,must_probably
9064112,2,2,H,64,must_probably
9064112,2,3,L,62,must_probably
9064112,2,4,HL,86,must_probably
9064112,2,5,LH,20,would_possibly
9064112,2,6,H,91,would_possibly
9064112,2,7,L,18,would_possibly
9064112,2,8,HL,42,would_possibly
9064112,2,9,LH,4,might_probably
9064112,2,10,H,71,might_probably
9064112,2,11,L,100,might_probably
9064112,2,12,HL,23,might_probably
9064112,2,13,LH,41,may_certainly
9064112,2,14,H,92,may_certainly
9064112,2,15,L,75,may_certainly
9064112,2,16,HL,34,may_certainly
9064112,2,1,H,NA,must_probably
9064112,2,2,L,NA,must_probably
9064112,2,3,HL,NA,must_probably
9064112,2,4,LH,NA,must_probably
9064112,2,5,H,NA,would_possibly
9064112,2,6,L,NA,would_possibly
9064112,2,7,HL,NA,would_possibly
9064112,2,8,LH,NA,would_possibly
9064112,2,9,H,NA,might_probably
9064112,2,10,L,NA,might_probably
9064112,2,11,HL,NA,might_probably
9064112,2,12,LH,NA,might_probably
9064112,2,13,H,NA,may_certainly
9064112,2,14,L,NA,may_certainly
9064112,2,15,HL,NA,may_certainly
9064112,2,16,LH,NA,may_certainly
9064112,2,1,L,NA,must_probably
9064112,2,2,HL,NA,must_probably
9064112,2,3,LH,NA,must_probably
9064112,2,4,H,NA,must_probably
9064112,2,5,L,NA,would_possibly
9064112,2,6,HL,NA,would_possibly
9064112,2,7,LH,NA,would_possibly
9064112,2,8,H,NA,would_possibly
9064112,2,9,L,NA,might_probably
9064112,2,10,HL,NA,might_probably
9064112,2,11,LH,NA,might_probably
9064112,2,12,H,NA,might_probably
9064112,2,13,L,NA,may_certainly
9064112,2,14,HL,NA,may_certainly
9064112,2,15,LH,NA,may_certainly
9064112,2,16,H,NA,may_certainly
83747731,2,1,HL,NA,must_probably
83747731,2,2,LH,NA,must_probably
83747731,2,3,H,NA,must_probably
83747731,2,4,L,NA,must_probably
83747731,2,5,HL,NA,would_possibly
83747731,2,6,LH,NA,would_possibly
83747731,2,7,H,NA,would_possibly
83747731,2,8,L,NA,would_possibly
83747731,2,9,HL,NA,might_probably
83747731,2,10,LH,NA,might_probably
83747731,2,11,H,NA,might_probably
83747731,2,12,L,NA,might_probably
83747731,2,13,HL,NA,may_certainly
83747731,2,14,LH,NA,may_certainly
83747731,2,15,H,NA,may_certainly
83747731,2,16,L,NA,may_certainly
83747731,2,1,LH,38,must_probably
83747731,2,2,H,62,must_probably
83747731,2,3,L,52,must_probably
83747731,2,4,HL,37,must_probably
83747731,2,5,LH,66,would_possibly
83747731,2,6,H,80,would_possibly
83747731,2,7,L,32,would_possibly
83747731,2,8,HL,48,would_possibly
83747731,2,9,LH,62,might_probably
83747731,2,10,H,58,might_probably
83747731,2,11,L,35,might_probably
83747731,2,12,HL,50,might_probably
83747731,2,13,LH,53,may_certainly
83747731,2,14,H,77,may_certainly
83747731,2,15,L,47,may_certainly
83747731,2,16,HL,54,may_certainly
83747731,2,1,H,NA,must_probably
83747731,2,2,L,NA,must_probably
83747731,2,3,HL,NA,must_probably
83747731,2,4,LH,NA,must_probably
83747731,2,5,H,NA,would_possibly
83747731,2,6,L,NA,would_possibly
83747731,2,7,HL,NA,would_possibly
83747731,2,8,LH,NA,would_possibly
83747731,2,9,H,NA,might_probably
83747731,2,10,L,NA,might_probably
83747731,2,11,HL,NA,might_probably
83747731,2,12,LH,NA,might_probably
83747731,2,13,H,NA,may_certainly
83747731,2,14,L,NA,may_certainly
83747731,2,15,HL,NA,may_certainly
83747731,2,16,LH,NA,may_certainly
83747731,2,1,L,NA,must_probably
83747731,2,2,HL,NA,must_probably
83747731,2,3,LH,NA,must_probably
83747731,2,4,H,NA,must_probably
83747731,2,5,L,NA,would_possibly
83747731,2,6,HL,NA,would_possibly
83747731,2,7,LH,NA,would_possibly
83747731,2,8,H,NA,would_possibly
83747731,2,9,L,NA,might_probably
83747731,2,10,HL,NA,might_probably
83747731,2,11,LH,NA,might_probably
83747731,2,12,H,NA,might_probably
83747731,2,13,L,NA,may_certainly
83747731,2,14,HL,NA,may_certainly
83747731,2,15,LH,NA,may_certainly
83747731,2,16,H,NA,may_certainly
22253148,4,1,HL,NA,must_probably
22253148,4,2,LH,NA,must_probably
22253148,4,3,H,NA,must_probably
22253148,4,4,L,NA,must_probably
22253148,4,5,HL,NA,would_possibly
22253148,4,6,LH,NA,would_possibly
22253148,4,7,H,NA,would_possibly
22253148,4,8,L,NA,would_possibly
22253148,4,9,HL,NA,might_probably
22253148,4,10,LH,NA,might_probably
22253148,4,11,H,NA,might_probably
22253148,4,12,L,NA,might_probably
22253148,4,13,HL,NA,may_certainly
22253148,4,14,LH,NA,may_certainly
22253148,4,15,H,NA,may_certainly
22253148,4,16,L,NA,may_certainly
22253148,4,1,LH,NA,must_probably
22253148,4,2,H,NA,must_probably
22253148,4,3,L,NA,must_probably
22253148,4,4,HL,NA,must_probably
22253148,4,5,LH,NA,would_possibly
22253148,4,6,H,NA,would_possibly
22253148,4,7,L,NA,would_possibly
22253148,4,8,HL,NA,would_possibly
22253148,4,9,LH,NA,might_probably
22253148,4,10,H,NA,might_probably
22253148,4,11,L,NA,might_probably
22253148,4,12,HL,NA,might_probably
22253148,4,13,LH,NA,may_certainly
22253148,4,14,H,NA,may_certainly
22253148,4,15,L,NA,may_certainly
22253148,4,16,HL,NA,may_certainly
22253148,4,1,H,NA,must_probably
22253148,4,2,L,NA,must_probably
22253148,4,3,HL,NA,must_probably
22253148,4,4,LH,NA,must_probably
22253148,4,5,H,NA,would_possibly
22253148,4,6,L,NA,would_possibly
22253148,4,7,HL,NA,would_possibly
22253148,4,8,LH,NA,would_possibly
22253148,4,9,H,NA,might_probably
22253148,4,10,L,NA,might_probably
22253148,4,11,HL,NA,might_probably
22253148,4,12,LH,NA,might_probably
22253148,4,13,H,NA,may_certainly
22253148,4,14,L,NA,may_certainly
22253148,4,15,HL,NA,may_certainly
22253148,4,16,LH,NA,may_certainly
22253148,4,1,L,78,must_probably
22253148,4,2,HL,85,must_probably
22253148,4,3,LH,81,must_probably
22253148,4,4,H,90,must_probably
22253148,4,5,L,81,would_possibly
22253148,4,6,HL,81,would_possibly
22253148,4,7,LH,85,would_possibly
22253148,4,8,H,91,would_possibly
22253148,4,9,L,81,might_probably
22253148,4,10,HL,71,might_probably
22253148,4,11,LH,83,might_probably
22253148,4,12,H,85,might_probably
22253148,4,13,L,87,may_certainly
22253148,4,14,HL,91,may_certainly
22253148,4,15,LH,88,may_certainly
22253148,4,16,H,100,may_certainly
29440885,1,1,HL,72,must_probably
29440885,1,2,LH,86,must_probably
29440885,1,3,H,71,must_probably
29440885,1,4,L,94,must_probably
29440885,1,5,HL,72,would_possibly
29440885,1,6,LH,75,would_possibly
29440885,1,7,H,99,would_possibly
29440885,1,8,L,64,would_possibly
29440885,1,9,HL,89,might_probably
29440885,1,10,LH,70,might_probably
29440885,1,11,H,85,might_probably
29440885,1,12,L,53,might_probably
29440885,1,13,HL,95,may_certainly
29440885,1,14,LH,92,may_certainly
29440885,1,15,H,94,may_certainly
29440885,1,16,L,73,may_certainly
29440885,1,1,LH,NA,must_probably
29440885,1,2,H,NA,must_probably
29440885,1,3,L,NA,must_probably
29440885,1,4,HL,NA,must_probably
29440885,1,5,LH,NA,would_possibly
29440885,1,6,H,NA,would_possibly
29440885,1,7,L,NA,would_possibly
29440885,1,8,HL,NA,would_possibly
29440885,1,9,LH,NA,might_probably
29440885,1,10,H,NA,might_probably
29440885,1,11,L,NA,might_probably
29440885,1,12,HL,NA,might_probably
29440885,1,13,LH,NA,may_certainly
29440885,1,14,H,NA,may_certainly
29440885,1,15,L,NA,may_certainly
29440885,1,16,HL,NA,may_certainly
29440885,1,1,H,NA,must_probably
29440885,1,2,L,NA,must_probably
29440885,1,3,HL,NA,must_probably
29440885,1,4,LH,NA,must_probably
29440885,1,5,H,NA,would_possibly
29440885,1,6,L,NA,would_possibly
29440885,1,7,HL,NA,would_possibly
29440885,1,8,LH,NA,would_possibly
29440885,1,9,H,NA,might_probably
29440885,1,10,L,NA,might_probably
29440885,1,11,HL,NA,might_probably
29440885,1,12,LH,NA,might_probably
29440885,1,13,H,NA,may_certainly
29440885,1,14,L,NA,may_certainly
29440885,1,15,HL,NA,may_certainly
29440885,1,16,LH,NA,may_certainly
29440885,1,1,L,NA,must_probably
29440885,1,2,HL,NA,must_probably
29440885,1,3,LH,NA,must_probably
29440885,1,4,H,NA,must_probably
29440885,1,5,L,NA,would_possibly
29440885,1,6,HL,NA,would_possibly
29440885,1,7,LH,NA,would_possibly
29440885,1,8,H,NA,would_possibly
29440885,1,9,L,NA,might_probably
29440885,1,10,HL,NA,might_probably
29440885,1,11,LH,NA,might_probably
29440885,1,12,H,NA,might_probably
29440885,1,13,L,NA,may_certainly
29440885,1,14,HL,NA,may_certainly
29440885,1,15,LH,NA,may_certainly
29440885,1,16,H,NA,may_certainly
27294655,4,1,HL,NA,must_probably
27294655,4,2,LH,NA,must_probably
27294655,4,3,H,NA,must_probably
27294655,4,4,L,NA,must_probably
27294655,4,5,HL,NA,would_possibly
27294655,4,6,LH,NA,would_possibly
27294655,4,7,H,NA,would_possibly
27294655,4,8,L,NA,would_possibly
27294655,4,9,HL,NA,might_probably
27294655,4,10,LH,NA,might_probably
27294655,4,11,H,NA,might_probably
27294655,4,12,L,NA,might_probably
27294655,4,13,HL,NA,may_certainly
27294655,4,14,LH,NA,may_certainly
27294655,4,15,H,NA,may_certainly
27294655,4,16,L,NA,may_certainly
27294655,4,1,LH,NA,must_probably
27294655,4,2,H,NA,must_probably
27294655,4,3,L,NA,must_probably
27294655,4,4,HL,NA,must_probably
27294655,4,5,LH,NA,would_possibly
27294655,4,6,H,NA,would_possibly
27294655,4,7,L,NA,would_possibly
27294655,4,8,HL,NA,would_possibly
27294655,4,9,LH,NA,might_probably
27294655,4,10,H,NA,might_probably
27294655,4,11,L,NA,might_probably
27294655,4,12,HL,NA,might_probably
27294655,4,13,LH,NA,may_certainly
27294655,4,14,H,NA,may_certainly
27294655,4,15,L,NA,may_certainly
27294655,4,16,HL,NA,may_certainly
27294655,4,1,H,NA,must_probably
27294655,4,2,L,NA,must_probably
27294655,4,3,HL,NA,must_probably
27294655,4,4,LH,NA,must_probably
27294655,4,5,H,NA,would_possibly
27294655,4,6,L,NA,would_possibly
27294655,4,7,HL,NA,would_possibly
27294655,4,8,LH,NA,would_possibly
27294655,4,9,H,NA,might_probably
27294655,4,10,L,NA,might_probably
27294655,4,11,HL,NA,might_probably
27294655,4,12,LH,NA,might_probably
27294655,4,13,H,NA,may_certainly
27294655,4,14,L,NA,may_certainly
27294655,4,15,HL,NA,may_certainly
27294655,4,16,LH,NA,may_certainly
27294655,4,1,L,40,must_probably
27294655,4,2,HL,26,must_probably
27294655,4,3,LH,85,must_probably
27294655,4,4,H,76,must_probably
27294655,4,5,L,66,would_possibly
27294655,4,6,HL,68,would_possibly
27294655,4,7,LH,68,would_possibly
27294655,4,8,H,53,would_possibly
27294655,4,9,L,52,might_probably
27294655,4,10,HL,71,might_probably
27294655,4,11,LH,50,might_probably
27294655,4,12,H,97,might_probably
27294655,4,13,L,45,may_certainly
27294655,4,14,HL,99,may_certainly
27294655,4,15,LH,32,may_certainly
27294655,4,16,H,100,may_certainly
222378,3,1,HL,NA,must_probably
222378,3,2,LH,NA,must_probably
222378,3,3,H,NA,must_probably
222378,3,4,L,NA,must_probably
222378,3,5,HL,NA,would_possibly
222378,3,6,LH,NA,would_possibly
222378,3,7,H,NA,would_possibly
222378,3,8,L,NA,would_possibly
222378,3,9,HL,NA,might_probably
222378,3,10,LH,NA,might_probably
222378,3,11,H,NA,might_probably
222378,3,12,L,NA,might_probably
222378,3,13,HL,NA,may_certainly
222378,3,14,LH,NA,may_certainly
222378,3,15,H,NA,may_certainly
222378,3,16,L,NA,may_certainly
222378,3,1,LH,NA,must_probably
222378,3,2,H,NA,must_probably
222378,3,3,L,NA,must_probably
222378,3,4,HL,NA,must_probably
222378,3,5,LH,NA,would_possibly
222378,3,6,H,NA,would_possibly
222378,3,7,L,NA,would_possibly
222378,3,8,HL,NA,would_possibly
222378,3,9,LH,NA,might_probably
222378,3,10,H,NA,might_probably
222378,3,11,L,NA,might_probably
222378,3,12,HL,NA,might_probably
222378,3,13,LH,NA,may_certainly
222378,3,14,H,NA,may_certainly
222378,3,15,L,NA,may_certainly
222378,3,16,HL,NA,may_certainly
222378,3,1,H,90,must_probably
222378,3,2,L,65,must_probably
222378,3,3,HL,90,must_probably
222378,3,4,LH,95,must_probably
222378,3,5,H,100,would_possibly
222378,3,6,L,70,would_possibly
222378,3,7,HL,65,would_possibly
222378,3,8,LH,50,would_possibly
222378,3,9,H,78,might_probably
222378,3,10,L,30,might_probably
222378,3,11,HL,75,might_probably
222378,3,12,LH,50,might_probably
222378,3,13,H,100,may_certainly
222378,3,14,L,50,may_certainly
222378,3,15,HL,95,may_certainly
222378,3,16,LH,95,may_certainly
222378,3,1,L,NA,must_probably
222378,3,2,HL,NA,must_probably
222378,3,3,LH,NA,must_probably
222378,3,4,H,NA,must_probably
222378,3,5,L,NA,would_possibly
222378,3,6,HL,NA,would_possibly
222378,3,7,LH,NA,would_possibly
222378,3,8,H,NA,would_possibly
222378,3,9,L,NA,might_probably
222378,3,10,HL,NA,might_probably
222378,3,11,LH,NA,might_probably
222378,3,12,H,NA,might_probably
222378,3,13,L,NA,may_certainly
222378,3,14,HL,NA,may_certainly
222378,3,15,LH,NA,may_certainly
222378,3,16,H,NA,may_certainly
47870446,3,1,HL,NA,must_probably
47870446,3,2,LH,NA,must_probably
47870446,3,3,H,NA,must_probably
47870446,3,4,L,NA,must_probably
47870446,3,5,HL,NA,would_possibly
47870446,3,6,LH,NA,would_possibly
47870446,3,7,H,NA,would_possibly
47870446,3,8,L,NA,would_possibly
47870446,3,9,HL,NA,might_probably
47870446,3,10,LH,NA,might_probably
47870446,3,11,H,NA,might_probably
47870446,3,12,L,NA,might_probably
47870446,3,13,HL,NA,may_certainly
47870446,3,14,LH,NA,may_certainly
47870446,3,15,H,NA,may_certainly
47870446,3,16,L,NA,may_certainly
47870446,3,1,LH,NA,must_probably
47870446,3,2,H,NA,must_probably
47870446,3,3,L,NA,must_probably
47870446,3,4,HL,NA,must_probably
47870446,3,5,LH,NA,would_possibly
47870446,3,6,H,NA,would_possibly
47870446,3,7,L,NA,would_possibly
47870446,3,8,HL,NA,would_possibly
47870446,3,9,LH,NA,might_probably
47870446,3,10,H,NA,might_probably
47870446,3,11,L,NA,might_probably
47870446,3,12,HL,NA,might_probably
47870446,3,13,LH,NA,may_certainly
47870446,3,14,H,NA,may_certainly
47870446,3,15,L,NA,may_certainly
47870446,3,16,HL,NA,may_certainly
47870446,3,1,H,79,must_probably
47870446,3,2,L,51,must_probably
47870446,3,3,HL,59,must_probably
47870446,3,4,LH,77,must_probably
47870446,3,5,H,91,would_possibly
47870446,3,6,L,55,would_possibly
47870446,3,7,HL,56,would_possibly
47870446,3,8,LH,59,would_possibly
47870446,3,9,H,63,might_probably
47870446,3,10,L,35,might_probably
47870446,3,11,HL,58,might_probably
47870446,3,12,LH,69,might_probably
